ID,Q1,Q2,Q3,Q4
1717,Weekly,More,High prices,Fast-food
1718,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1719,Daily,Less,Quality of food,Sit-down dining
1720,Monthly,Less,Quality of food,Fast-food
1721,Rarely,More,Quality of food,Sit-down dining
1722,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
1723,Never visited before,Less,Quality of food,Fast-food
1724,Never visited before,Less,Quality of food,Sit-down dining
1725,Never visited before,Less,Lack of sit down dining elements,Fast-food
1726,Monthly,Less,High prices,Fast-food
1727,Daily,More,Poor service,Sit-down dining
1728,Never visited before,Less,High prices,Sit-down dining
1729,Monthly,Less,Lack of sit down dining elements,Fast-food
1730,Rarely,Less,Quality of food,Sit-down dining
1731,Monthly,Less,High prices,Sit-down dining
1732,Rarely,Less,Poor service,Sit-down dining
1733,Weekly,Less,Poor service,Sit-down dining
1734,Monthly,More,High prices,Sit-down dining
1735,Rarely,Less,High prices,Fast-food
1736,Monthly,More,Quality of food,Fast-food
1737,Daily,More,Lack of sit down dining elements,Sit-down dining
1738,Monthly,More,Lack of sit down dining elements,Sit-down dining
1739,Never visited before,Less,High prices,Sit-down dining
1740,Daily,Less,High prices,Sit-down dining
1741,Monthly,Less,Poor service,Fast-food
1742,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1743,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
1744,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1745,Weekly,Less,Lack of sit down dining elements,Sit-down dining
1746,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
1747,Daily,More,Quality of food,Fast-food
1748,Daily,Less,Quality of food,Fast-food
1749,Weekly,Less,High prices,Fast-food
1750,Monthly,Less,Quality of food,Fast-food
1751,Monthly,Less,High prices,Fast-food
1752,Monthly,More,Lack of sit down dining elements,Fast-food
1753,Monthly,Less,Quality of food,Fast-food
1754,Weekly,Less,High prices,Sit-down dining
1755,Monthly,Less,Quality of food,Sit-down dining
1756,Monthly,Less,Poor service,Sit-down dining
1757,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1758,Monthly,More,Quality of food,Sit-down dining
1759,Rarely,Less,High prices,Sit-down dining
1760,Never visited before,Less,Poor service,Sit-down dining
1761,Daily,Less,High prices,Sit-down dining
1762,Rarely,More,High prices,Fast-food
1763,Rarely,Less,Poor service,Sit-down dining
1764,Rarely,Less,High prices,Fast-food
1765,Weekly,Less,Quality of food,Sit-down dining
1766,Monthly,Less,Quality of food,Sit-down dining
1767,Monthly,Less,High prices,Sit-down dining
1768,Rarely,Less,High prices,Fast-food
1769,Rarely,Less,Lack of sit down dining elements,Fast-food
1770,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
1771,Daily,More,High prices,Fast-food
1772,Monthly,Less,High prices,Sit-down dining
1773,Monthly,Less,Poor service,Fast-food
1774,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1775,Monthly,Less,High prices,Fast-food
1776,Monthly,Less,Poor service,Sit-down dining
1777,Rarely,Less,Lack of sit down dining elements,Fast-food
1778,Weekly,Less,Lack of sit down dining elements,Sit-down dining
1779,Rarely,Less,Quality of food,Fast-food
1780,Monthly,Less,Quality of food,Sit-down dining
1781,Rarely,Less,Poor service,Fast-food
1782,Daily,Less,Lack of sit down dining elements,Sit-down dining
1783,Daily,Less,Lack of sit down dining elements,Fast-food
1784,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
1785,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1786,Never visited before,Less,Poor service,Fast-food
1787,Monthly,Less,High prices,Fast-food
1788,Monthly,Less,Lack of sit down dining elements,Fast-food
1789,Weekly,More,High prices,Sit-down dining
1790,Rarely,Less,High prices,Sit-down dining
1791,Rarely,Less,Quality of food,Fast-food
1792,Rarely,Less,Lack of sit down dining elements,Fast-food
1793,Monthly,Less,High prices,Sit-down dining
1794,Weekly,Less,Quality of food,Fast-food
1795,Never visited before,Less,Lack of sit down dining elements,Fast-food
1796,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1797,Monthly,Less,High prices,Fast-food
1798,Weekly,Less,Quality of food,Fast-food
1799,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1800,Weekly,Less,High prices,Fast-food
1801,Weekly,Less,High prices,Fast-food
1802,Daily,Less,Quality of food,Sit-down dining
1803,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
1804,Monthly,Less,High prices,Sit-down dining
1805,Never visited before,Less,High prices,Sit-down dining
1806,Daily,Less,Lack of sit down dining elements,Sit-down dining
1807,Rarely,Less,Quality of food,Fast-food
1808,Monthly,Less,Poor service,Sit-down dining
1809,Weekly,Less,High prices,Sit-down dining
1810,Monthly,Less,Lack of sit down dining elements,Fast-food
1811,Weekly,Less,Poor service,Fast-food
1812,Never visited before,Less,Lack of sit down dining elements,Fast-food
1813,Rarely,Less,Lack of sit down dining elements,Fast-food
1814,Daily,Less,Lack of sit down dining elements,Sit-down dining
1815,Weekly,Less,Quality of food,Fast-food
1816,Rarely,Less,High prices,Sit-down dining
1817,Daily,More,Quality of food,Sit-down dining
1818,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
1819,Daily,Less,Lack of sit down dining elements,Sit-down dining
1820,Rarely,More,High prices,Fast-food
1821,Monthly,More,Quality of food,Sit-down dining
1822,Daily,Less,High prices,Sit-down dining
1823,Weekly,Less,Poor service,Fast-food
1824,Monthly,Less,High prices,Sit-down dining
1825,Monthly,Less,High prices,Fast-food
1826,Monthly,Less,High prices,Fast-food
1827,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1828,Rarely,Less,Lack of sit down dining elements,Fast-food
1829,Weekly,More,Lack of sit down dining elements,Sit-down dining
1830,Weekly,Less,High prices,Fast-food
1831,Monthly,More,Quality of food,Sit-down dining
1832,Monthly,Less,Poor service,Fast-food
1833,Rarely,Less,High prices,Sit-down dining
1834,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1835,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1836,Weekly,Less,Lack of sit down dining elements,Fast-food
1837,Rarely,Less,Lack of sit down dining elements,Fast-food
1838,Monthly,Less,Lack of sit down dining elements,Fast-food
1839,Monthly,Less,High prices,Fast-food
1840,Rarely,More,Poor service,Fast-food
1841,Weekly,More,High prices,Fast-food
1842,Rarely,Less,Poor service,Fast-food
1843,Weekly,More,Lack of sit down dining elements,Fast-food
1844,Rarely,More,Lack of sit down dining elements,Fast-food
1845,Monthly,Less,Poor service,Fast-food
1846,Never visited before,Less,High prices,Sit-down dining
1847,Rarely,Less,High prices,Fast-food
1848,Rarely,Less,Poor service,Fast-food
1849,Monthly,More,Quality of food,Fast-food
1850,Never visited before,More,High prices,Fast-food
1851,Never visited before,Less,High prices,Fast-food
1852,Monthly,More,High prices,Fast-food
1853,Weekly,Less,High prices,Fast-food
1854,Never visited before,More,Quality of food,Fast-food
1855,Rarely,Less,Poor service,Sit-down dining
1856,Daily,More,Lack of sit down dining elements,Sit-down dining
1857,Monthly,More,High prices,Sit-down dining
1858,Monthly,More,Lack of sit down dining elements,Sit-down dining
1859,Monthly,More,Poor service,Fast-food
1860,Never visited before,More,High prices,Sit-down dining
1861,Monthly,Less,High prices,Fast-food
1862,Rarely,More,Lack of sit down dining elements,Fast-food
1863,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1864,Daily,Less,High prices,Fast-food
1865,Rarely,Less,High prices,Sit-down dining
1866,Never visited before,Less,High prices,Fast-food
1867,Monthly,Less,High prices,Sit-down dining
1868,Monthly,Less,High prices,Fast-food
1869,Weekly,More,Lack of sit down dining elements,Sit-down dining
1870,Weekly,Less,Quality of food,Sit-down dining
1871,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1872,Monthly,Less,High prices,Fast-food
1873,Monthly,Less,High prices,Sit-down dining
1874,Rarely,Less,Quality of food,Sit-down dining
1875,Monthly,More,Lack of sit down dining elements,Fast-food
1876,Monthly,Less,Lack of sit down dining elements,Fast-food
1877,Monthly,Less,Poor service,Fast-food
1878,Daily,More,Poor service,Fast-food
1879,Never visited before,Less,Lack of sit down dining elements,Fast-food
1880,Daily,Less,High prices,Sit-down dining
1881,Rarely,More,Lack of sit down dining elements,Fast-food
1882,Monthly,Less,High prices,Fast-food
1883,Never visited before,Less,Quality of food,Fast-food
1884,Rarely,Less,Quality of food,Fast-food
1885,Weekly,Less,High prices,Fast-food
1886,Weekly,Less,Quality of food,Sit-down dining
1887,Daily,More,High prices,Fast-food
1888,Daily,Less,Lack of sit down dining elements,Fast-food
1889,Weekly,Less,Poor service,Sit-down dining
1890,Rarely,More,High prices,Sit-down dining
1891,Rarely,Less,Poor service,Sit-down dining
1892,Monthly,More,Lack of sit down dining elements,Sit-down dining
1893,Monthly,More,Quality of food,Fast-food
1894,Rarely,Less,Quality of food,Sit-down dining
1895,Monthly,Less,High prices,Fast-food
1896,Monthly,More,High prices,Sit-down dining
1897,Weekly,Less,Lack of sit down dining elements,Fast-food
1898,Rarely,More,Lack of sit down dining elements,Fast-food
1899,Rarely,Less,High prices,Sit-down dining
1900,Never visited before,Less,Poor service,Fast-food
1901,Weekly,Less,High prices,Sit-down dining
1902,Daily,Less,Lack of sit down dining elements,Sit-down dining
1903,Monthly,Less,High prices,Sit-down dining
1904,Weekly,Less,Poor service,Fast-food
1905,Rarely,Less,Poor service,Sit-down dining
1906,Monthly,Less,High prices,Sit-down dining
1907,Never visited before,More,High prices,Sit-down dining
1908,Rarely,Less,Quality of food,Fast-food
1909,Rarely,Less,Quality of food,Fast-food
1910,Monthly,Less,Poor service,Sit-down dining
1911,Monthly,Less,High prices,Sit-down dining
1912,Daily,Less,Lack of sit down dining elements,Fast-food
1913,Never visited before,More,Lack of sit down dining elements,Fast-food
1914,Never visited before,Less,Lack of sit down dining elements,Fast-food
1915,Weekly,Less,Poor service,Sit-down dining
1916,Rarely,More,High prices,Sit-down dining
1917,Never visited before,Less,High prices,Fast-food
1918,Rarely,Less,Poor service,Fast-food
1919,Weekly,Less,Lack of sit down dining elements,Sit-down dining
1920,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1921,Monthly,More,Quality of food,Sit-down dining
1922,Monthly,Less,High prices,Sit-down dining
1923,Rarely,Less,Quality of food,Fast-food
1924,Monthly,Less,Poor service,Sit-down dining
1925,Rarely,More,Lack of sit down dining elements,Fast-food
1926,Monthly,Less,Quality of food,Fast-food
1927,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1928,Rarely,More,Quality of food,Sit-down dining
1929,Weekly,Less,Lack of sit down dining elements,Sit-down dining
1930,Never visited before,More,Quality of food,Fast-food
1931,Never visited before,Less,High prices,Sit-down dining
1932,Rarely,Less,High prices,Fast-food
1933,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1934,Weekly,Less,Lack of sit down dining elements,Fast-food
1935,Daily,Less,Quality of food,Fast-food
1936,Rarely,Less,Quality of food,Sit-down dining
1937,Rarely,Less,Lack of sit down dining elements,Fast-food
1938,Rarely,More,High prices,Sit-down dining
1939,Rarely,Less,Lack of sit down dining elements,Fast-food
1940,Rarely,Less,Quality of food,Fast-food
1941,Weekly,Less,High prices,Fast-food
1942,Never visited before,Less,Quality of food,Sit-down dining
1943,Daily,Less,Poor service,Fast-food
1944,Monthly,Less,Lack of sit down dining elements,Fast-food
1945,Daily,Less,High prices,Sit-down dining
1946,Monthly,More,Poor service,Sit-down dining
1947,Never visited before,More,High prices,Sit-down dining
1948,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1949,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1950,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1951,Weekly,More,High prices,Fast-food
1952,Daily,Less,Poor service,Sit-down dining
1953,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1954,Weekly,Less,High prices,Fast-food
1955,Rarely,Less,High prices,Sit-down dining
1956,Rarely,Less,Lack of sit down dining elements,Fast-food
1957,Rarely,More,High prices,Sit-down dining
1958,Monthly,More,Quality of food,Fast-food
1959,Monthly,Less,Quality of food,Fast-food
1960,Monthly,Less,High prices,Sit-down dining
1961,Monthly,More,Poor service,Sit-down dining
1962,Rarely,Less,High prices,Fast-food
1963,Rarely,Less,High prices,Sit-down dining
1964,Monthly,More,High prices,Sit-down dining
1965,Never visited before,More,High prices,Sit-down dining
1966,Daily,Less,Poor service,Fast-food
1967,Daily,More,Lack of sit down dining elements,Fast-food
1968,Never visited before,Less,Lack of sit down dining elements,Fast-food
1969,Rarely,Less,High prices,Fast-food
1970,Daily,Less,Quality of food,Sit-down dining
1971,Daily,Less,Lack of sit down dining elements,Fast-food
1972,Monthly,Less,High prices,Fast-food
1973,Daily,Less,Poor service,Sit-down dining
1974,Rarely,Less,Lack of sit down dining elements,Fast-food
1975,Rarely,Less,Poor service,Sit-down dining
1976,Never visited before,More,Lack of sit down dining elements,Sit-down dining
1977,Rarely,Less,High prices,Fast-food
1978,Weekly,Less,High prices,Fast-food
1979,Monthly,Less,Lack of sit down dining elements,Fast-food
1980,Daily,Less,Lack of sit down dining elements,Fast-food
1981,Rarely,Less,Lack of sit down dining elements,Fast-food
1982,Never visited before,Less,Quality of food,Sit-down dining
1983,Never visited before,Less,Quality of food,Sit-down dining
1984,Monthly,Less,Poor service,Sit-down dining
1985,Rarely,Less,High prices,Fast-food
1986,Daily,Less,Lack of sit down dining elements,Sit-down dining
1987,Monthly,Less,Poor service,Sit-down dining
1988,Daily,More,High prices,Fast-food
1989,Monthly,Less,Quality of food,Fast-food
1990,Rarely,Less,Quality of food,Fast-food
1991,Rarely,Less,Poor service,Sit-down dining
1992,Daily,Less,Lack of sit down dining elements,Fast-food
1993,Monthly,Less,Poor service,Fast-food
1994,Weekly,Less,Lack of sit down dining elements,Sit-down dining
1995,Weekly,Less,High prices,Sit-down dining
1996,Never visited before,Less,High prices,Sit-down dining
1997,Monthly,Less,Poor service,Fast-food
1998,Monthly,Less,High prices,Fast-food
1999,Rarely,More,Poor service,Sit-down dining
2000,Never visited before,More,High prices,Fast-food
